event_id,programs,effective_date,first_affected_award_year_start,last_affected_award_year_start,event_type,confidence,source_publication_date,source_title,source_url,retrieved_on,interpretation,coding_rule,evidence_excerpt,supporting_source_urls_json
fafsa_prior_prior_2017,pell;acg;smart;teach;iasg;fseog;fws;subsidized;unsubsidized;parent_plus;grad_plus;plus,,2017,,need_analysis_change,confirmed_policy,2016-02-11,GEN-16-03: prior-prior year income,https://fsapartners.ed.gov/fsa-print/publication/3067,2026-09-22,AY2017-18 FAFSA began prior-prior tax-year income and earlier application opening; 2016-17 and 2017-18 both used 2015 income.,"Choose income and economic covariate lags explicitly; this is application/eligibility timing, not a volume-field disappearance.",,[]
titleiv_atb_restriction_2012,pell;fseog;fws;subsidized;unsubsidized,2012-07-01,2012,,eligibility_change,confirmed_policy,,2013-14 FSA Handbook: limited ATB options,https://fsapartners.ed.gov/sites/default/files/2021-02/1314FSAHandbookCompleteActiveIndex.pdf,2026-09-22,New entrants without a qualifying secondary credential lost the general ability-to-benefit alternatives; pre-July 2012 enrollment could preserve eligibility.,Mark a student-eligibility break; program headers can remain present.,,[]
titleiv_atb_career_pathway,pell;fseog;fws;subsidized;unsubsidized,2014-12-16,2014,,eligibility_change,confirmed_policy,2015-05-22,GEN-15-09: career pathway eligibility,https://fsapartners.ed.gov/fsa-print/publication/2986,2026-09-22,2014 legislation restored ATB routes for eligible career pathway programs; December 2015 legislation revised that definition and removed alternative Pell schedules.,"Treat the historical letter as evidence for its period, not current operational guidance; include a 2014-15 transition flag.",,[]
titleiv_drug_selective_service_2021,pell;teach;iasg;fseog;fws;subsidized;unsubsidized;parent_plus;grad_plus;plus,,2021,,eligibility_change,confirmed_policy,,GEN-21-04: removal of Selective Service and drug-conviction restrictions,https://fsapartners.ed.gov/fsa-print/publication/1003303,2026-09-22,"Restrictions stopped affecting Title IV eligibility beginning AY2021-22, with application questions/comment codes phased out in later years.",Eligibility change and form/schema change have different dates; do not use question removal as the eligibility effective date.,,[]
perkins_new_capital_end,perkins,,2005,,funding_change,confirmed_policy,,Campus-Based common elements: Perkins capital contributions,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/2022-2023/vol6/ch1-campus-based-programs-common-elements,2026-09-22,Congress authorized no new Perkins Federal Capital Contributions after AY2004-05. Revolving-fund lending continued; repayments financed loans.,Federal Award is not new loan volume. Its column persists through AY2015-16 and cannot be used as a policy-termination proxy.,,[]
perkins_new_loans_end,perkins,2017-10-01,2017,,program_end,confirmed_policy,,Federal Perkins Loan FAQs,https://fsapartners.ed.gov/fsa-print/faq/1002598,2026-09-22,"Perkins authorization ended September 30, 2017; eligible previously disbursed undergraduate loans could have later disbursements through June 30, 2018.","Retain AY2017-18 activity and distinguish new awards, subsequent disbursements, and outstanding portfolio.",,[]
perkins_last_disbursement,perkins,2018-07-01,2018,,program_end,confirmed_policy,,Participating in Perkins Loan Program,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/2024-2025/vol6/ch3-participating-perkins-loan-program,2026-09-22,"No Perkins disbursements permitted after June 30, 2018; erroneous later activity requires correction. FISAP servicing reporting continues during wind-down.",Retain observed AY2018-19 zero fields; later absent volume fields do not imply all outstanding balances were zero.,,[]
campus_federal_vs_total,fseog;fws;perkins,,2001,,measure_definition,confirmed_policy,,"2008-09 FISAP Instructions, Part VI",https://fsapartners.ed.gov/sites/default/files/attachments/fisapformandinst/0809FISAPInstructions.pdf,2026-09-22,"FISAP total FSEOG/FWS student expenditures include federal funds, authorized transfers, and the nonfederal share. Federal allocation is a different concept from student disbursements.",Never add federal_award to disbursements or assume equality. Volume workbooks call disbursements school-reported actual disbursements; exact all-year FISAP field lineage is not supplied.,,[]
campus_cares_match,fseog;fws,2020-03-13,2019,2020,funding_change,confirmed_policy,2020-08-21,COVID-19 flexibility deadlines,https://fsapartners.ed.gov/fsa-print/publication/37852,2026-09-22,"CARES Act waived campus institutional matching in AY2019-20 and AY2020-21, with a for-profit FWS employer exception; retrospective reimbursement could alter federal/nonfederal composition.",Flag both years; do not extrapolate the waiver to 2021-22 or assume a fixed federal share.,,[]
campus_cares_emergency,fseog;fws,2020-03-27,2019,,eligibility_and_transfer_change,confirmed_policy,,2020-21 Handbook: FWS CARES flexibilities,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/2020-2021/vol6/ch2-federal-work-study-program,2026-09-22,"Emergency authority allowed up to 100% of unspent FWS to transfer to FSEOG and emergency FSEOG grants under relaxed ordinary eligibility rules, including graduate students.",Changes in composition and allocations can reflect emergency flexibility; do not interpret all FSEOG recipients as ordinary Pell-priority undergraduates.,,[]
fseog_negative_sai_2024,fseog,2024-07-01,2024,,selection_change,confirmed_policy,2024-04-10,Use of Negative SAI in FSEOG Selection,https://fsapartners.ed.gov/knowledge-center/library/dear-colleague-letters/2024-04-10/use-negative-student-aid-index-sai-federal-supplemental-educational-opportunity-grant-fseog-selection-criteria,2026-09-22,Institutions may treat negative SAIs as equal to zero for FSEOG selection beginning AY2024-25.,"Outside selected campus scope ending AY2023-24; retain as forward boundary metadata, not observed data.",,[]
grad_plus_start,grad_plus;parent_plus;plus,2006-07-01,2005,,program_extension,confirmed_policy,2006-06-23,HERA Direct Grad PLUS operational guidance,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2006-06-23/summary-hera-operational-implementation-guidance-cps-cod-system-and-edexpress-suite-updated-guidance-direct-plus-loan-graduate-and-professional-students-supersedes-5162006-electronic,2026-09-22,"Graduate/professional PLUS began July 1, 2006; FSA explicitly supports processing AY2005-06 Direct Grad PLUS. Loan award-year follows the loan-period start, not necessarily first-disbursement calendar year. The FFEL workbook also contains AY2005-06 Grad PLUS under its loan-period definition.","Preserve observed AY2005-06 Grad PLUS. Legacy PLUS beside GRAD PLUS means parent PLUS, not a total already containing graduate amounts.","At a minimum, we will process 2005-2006, 2006-2007, and 2007-2008 Direct PLUS Loans","[""https://fsapartners.ed.gov/knowledge-center/library/dear-colleague-letters/2006-04-25/fp-06-05-promissory-note-addenda-and-revised-plain-language-disclosures-ffel-program-loans-awarding-federal-plus-loans-graduate-and-professional-students""]"
loan_limit_2007,subsidized;unsubsidized,2007-07-01,2006,,borrowing_limit_change,confirmed_policy,2007-04-12,Annual loan limit increases for certain Direct borrowers,https://fsapartners.ed.gov/knowledge-center/library/historical-resources/2007-04-12/summary-annual-loan-limit-increases-certain-direct-subsidized-loan-and-direct-unsubsidized-loan-borrowers,2026-09-22,"HERA raised first/second undergraduate and graduate unsubsidized annual limits for relevant first disbursements from July 1, 2007.","Effect is by first-disbursement date, potentially crossing loan-period award-year cohorts; no single-year mechanical rescaling.",,[]
loan_limit_2008,unsubsidized,2008-07-01,2007,,borrowing_limit_change,confirmed_policy,,GEN-08-08: Ensuring Continued Access to Student Loans,https://fsapartners.ed.gov/fsa-print/publication/2669,2026-09-22,"ECASLA increased annual undergraduate unsubsidized limits by $2,000 for loans first disbursed from July 1, 2008.",Preserve change as a borrowing-cap regime; do not normalize volume as if eligibility limits were constant.,,[]
ffel_new_lending_end,ffel;subsidized;unsubsidized;parent_plus;grad_plus;plus,2010-07-01,2010,,delivery_channel_change,confirmed_policy,,GEN-10-10: FFEL deadline,https://fsapartners.ed.gov/fsa-print/publication/2775,2026-09-22,"No new FFEL first disbursements on or after July 1, 2010; valid earlier first disbursements can be followed by later disbursements. New federal lending moved to Direct.",Keep channels; disappearance of FFEL reports is not repayment or consolidation. Do not erase late FFEL activity in prior award-year cohorts.,,[]
graduate_subsidized_end,subsidized;subsidized_graduate,2012-07-01,2012,,eligibility_change,confirmed_policy,2012-07-10,Direct Loan interest rates and subsidized eligibility,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2012-07-10/direct-loans-subject-direct-loan-interest-rates-and-changes-student-eligibility-direct-subsidized-loans,2026-09-22,"Graduate/professional students are ineligible for Direct Subsidized Loans for loan periods beginning July 1, 2012 or later. The graduate subsidized header ends AY2011-12.",Generic subsidized after 2011-12 is undergraduate scope; prior generic values may include both levels.,,[]
subsidized_150_limit,subsidized,2013-07-01,2013,2020,eligibility_change,confirmed_policy,,150 Percent Direct Subsidized Loan Limit,https://fsapartners.ed.gov/knowledge-center/topics/150-percent-direct-subsidized-loan-limit-information,2026-09-22,Certain first-time borrowers became subject to a subsidized borrowing-duration limit of 150% of program length from July 2013.,Context for eligibility/volume; do not confuse with the separate 150% Year-Round Pell rule.,,[]
subsidized_150_repeal,subsidized,2021-07-01,2021,,eligibility_change,confirmed_policy,,Repeal of 150% SULA FAQs,https://fsapartners.ed.gov/fsa-print/faq/1003333,2026-09-22,"150% limitation no longer applies to loans with earliest disbursement on or after July 1, 2021; historical cohorts differ.","Use disbursement date boundary as context, not blanket recoding of all AY2021 values.",,[]
plus_credit_2015,parent_plus;grad_plus;plus,2015-03-29,2014,,eligibility_change,confirmed_policy,2015-01-27,Early implementation of PLUS adverse-credit rules,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2015-01-27/general-subject-early-implementation-changes-regulations-adverse-credit-history-under-direct-plus-loan-program,2026-09-22,"New adverse-credit standards and counseling apply to credit checks from March 29, 2015, regardless of loan period.",Mixed policy exposure can occur within an award year; volume data cannot identify affected borrowers.,,[]
quarterly_cumulative_vintage,all,,1999,,reporting_definition,confirmed_policy,2026-03-13,GENERAL-26-15: interpreting FSA reports,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2026-03-13/federal-student-aid-posts-updated-reports-fsa-data-center,2026-09-22,Award-year Q4 cumulative worksheet covers the year; quarterly tabs are not annual totals. Delayed reporting and later activity revise historical amounts. School-level unique recipients across all aid types are unavailable.,Use selected cumulative Q4 once; preserve report run date/hash. Never sum cumulative quarters or label cross-program recipient sums unique.,,[]
award_year_july_june,all,,1999,,time_definition,confirmed_policy,,2010-11 FSA Handbook Volume 3,https://fsapartners.ed.gov/sites/default/files/2021-03/1011FSAHbkVol3Master.pdf,2026-09-22,Award year begins July 1 and ends June 30. Loans in these volume reports are assigned by loan-period start; subsequent disbursements can be recorded later. IPEDS components use different reference periods.,Record award_year_start/end explicitly and select an IPEDS alignment convention by analytic purpose; never label loan volume a pure fiscal cash-flow total.,,[]
schema_perkins_award_drop,perkins,,2016,,schema_observation,observed_schema_unresolved_reason,,2016-17CampusBased.xls,https://studentaid.gov/sites/default/files/fsawg/datacenter/library/2016-17CampusBased.xls,2026-09-22,Perkins federal-award header ends after AY2015-16; no explicit source note ties this exact schema boundary to the earlier federal-capital cessation.,"Preserve observed values, raw symbols, schema availability and missingness status; do not infer zeros from this event.",,[]
schema_perkins_volume_drop,perkins,,2019,,schema_observation,confirmed_source_explanation,,ay19-20-campus-based.xls,https://studentaid.gov/sites/default/files/fsawg/datacenter/library/ay19-20-campus-based.xls,2026-09-22,Perkins recipient/disbursement headers end after AY2018-19; 2019-20 workbook footer explicitly attributes removal to no new Perkins loans.,"Preserve observed values, raw symbols, schema availability and missingness status; do not infer zeros from this event.",,[]
schema_direct_level_split,subsidized;unsubsidized,,2010,,schema_observation,observed_schema,,DL_Dashboard_AY2010_2011_Q4.xls,https://studentaid.gov/sites/default/files/DL_Dashboard_AY2010_2011_Q4.xls,2026-09-22,"Direct undergraduate/graduate split becomes available AY2010-11. This is new reporting detail, not the creation of graduate unsubsidized borrowing.","Preserve observed values, raw symbols, schema availability and missingness status; do not infer zeros from this event.",,[]
schema_campus_suppression,fseog;fws,,2021,,schema_observation,observed_schema_unresolved_reason,,ay21-22-campus-based.xls,https://studentaid.gov/sites/default/files/fsawg/datacenter/library/ay21-22-campus-based.xls,2026-09-22,Selected reports begin <10 recipient and Privacy Redacted/Privacy Redaction dollar cells in AY2021-22. Publication-policy rationale and zero-exclusion bound are not documented by a located source note.,"Preserve observed values, raw symbols, schema availability and missingness status; do not infer zeros from this event.",,[]
schema_direct_dashes,subsidized;unsubsidized;parent_plus;grad_plus;plus,,2017,,schema_observation,observed_schema_unresolved_reason,,DL_Dashboard_AY2017_2018_Q4.xls,https://studentaid.gov/sites/default/files/fsawg/datacenter/library/DL_Dashboard_AY2017_2018_Q4.xls,2026-09-22,Selected Direct sources change many empty-looking positions to literal dashes beginning AY2017-18. Available definitions do not define a dash as numeric zero.,"Preserve observed values, raw symbols, schema availability and missingness status; do not infer zeros from this event.",,[]
schema_campus_scope_end,fseog;fws,,2024,,schema_observation,observed_schema,,ay23-24-campus-based.xls,https://studentaid.gov/sites/default/files/fsawg/datacenter/library/ay23-24-campus-based.xls,2026-09-22,"Cached selected campus reports end AY2023-24; grants/Direct continue AY2024-25. This is source coverage, not termination of FWS or FSEOG.","Preserve observed values, raw symbols, schema availability and missingness status; do not infer zeros from this event.",,[]
pell_auto_zero_2012,pell;fseog;fws;subsidized,2012-07-01,2012,2012,need_analysis_change,confirmed_policy,2012-01-05,2012-13 EFC Formula Guide update,https://fsapartners.ed.gov/fsa-print/publication/1083,2026-09-22,"The 2012-13 automatic-zero EFC income threshold was reduced to $23,000; its initially planned inflation-adjusted value had been $32,000. Eligibility methodology changed without a new volume header.",Control for the actual annual EFC formula when studying need-based aid; do not treat an unchanged volume definition as fixed eligibility.,,[]
pell_annual_parameters,pell;iasg,,1999,,annual_award_parameters,confirmed_policy,2023-03-07,2023-24 Pell schedules implementation,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2023-03-07/operational-implementation-guidance-federal-student-aids-implementation-2023-24-federal-pell-grant-payment-and-disbursement-schedules,2026-09-22,"Annual Pell maximums and eligibility/payment schedules vary. For example, maximum scheduled Pell rose from $6,895 in 2022-23 to $7,395 in 2023-24. These parameters alter dollar totals with no header change.",Preserve nominal amounts and identify annual policy regimes. This registry is not a complete numeric annual Pell schedule dataset; do not substitute the example for all years.,,[]
