opeid8,award_year,source_prefix,raw_postal_token,normalized_postal_token
00140200,2012-2013,grant,65181908,06518-1908
00140200,2013-2014,grant,65181908,06518-1908
00140300,2006-2007,grant,68251000,06825-1000
00140300,2007-2008,grant,68251000,06825-1000
00140300,2009-2010,grant,68251000,06825-1000
00140300,2010-2011,grant,68251000,06825-1000
00140300,2011-2012,grant,68251000,06825-1000
00140300,2012-2013,grant,68251000,06825-1000
00140300,2013-2014,grant,68251000,06825-1000
00140600,2006-2007,grant,65151355,06515-1355
00140600,2007-2008,grant,65151355,06515-1355
00140600,2009-2010,grant,65151355,06515-1355
00140600,2010-2011,grant,65151355,06515-1355
00140600,2011-2012,grant,65151355,06515-1355
00140600,2012-2013,grant,65151355,06515-1355
00140600,2013-2014,grant,65151355,06515-1355
00140900,2006-2007,grant,61172791,06117-2791
00140900,2007-2008,grant,61172791,06117-2791
00140900,2009-2010,grant,61172791,06117-2791
00140900,2010-2011,grant,61172791,06117-2791
00140900,2011-2012,grant,61172791,06117-2791
00140900,2012-2013,grant,61172791,06117-2791
00140900,2013-2014,grant,61172791,06117-2791
00141400,2006-2007,grant,61063100,06106-3100
00141400,2007-2008,grant,61063100,06106-3100
00141400,2009-2010,grant,61063100,06106-3100
00141400,2010-2011,grant,61063100,06106-3100
00141400,2011-2012,grant,61063100,06106-3100
00141400,2012-2013,grant,61063100,06106-3100
00141400,2013-2014,grant,61063100,06106-3100
00141600,2006-2007,grant,66015650,06601-5650
00141600,2007-2008,grant,66015650,06601-5650
00141600,2009-2010,grant,66015650,06601-5650
00141600,2010-2011,grant,66015650,06601-5650
00141600,2011-2012,grant,66015650,06601-5650
00141600,2012-2013,grant,66015650,06601-5650
00141600,2013-2014,grant,66015650,06601-5650
00141700,2006-2007,grant,62692151,06269-2151
00141700,2007-2008,grant,62692151,06269-2151
00141700,2009-2010,grant,62692151,06269-2151
00141700,2010-2011,grant,62692151,06269-2151
00141700,2011-2012,grant,62692151,06269-2151
00141700,2012-2013,grant,62692151,06269-2151
00141700,2013-2014,grant,62692151,06269-2151
00141704,2009-2010,grant,62692151,06269-2151
00142200,2006-2007,grant,61171599,06117-1599
00142200,2007-2008,grant,61171599,06117-1599
00142200,2009-2010,grant,61171599,06117-1599
00142200,2010-2011,grant,61171599,06117-1599
00142200,2011-2012,grant,61171599,06117-1599
00142200,2012-2013,grant,61171599,06117-1599
00142200,2013-2014,grant,61171599,06117-1599
00142400,2006-2007,grant,64593208,06459-3208
00142400,2007-2008,grant,64593208,06459-3208
00142400,2009-2010,grant,64593208,06459-3208
00142400,2010-2011,grant,64593208,06459-3208
00142400,2011-2012,grant,64593208,06459-3208
00142400,2012-2013,grant,64593208,06459-3208
00142400,2013-2014,grant,64593208,06459-3208
00142500,2006-2007,grant,62262295,06226-2295
00142500,2007-2008,grant,62262295,06226-2295
00142500,2009-2010,grant,62262295,06226-2295
00142500,2010-2011,grant,62262295,06226-2295
00142500,2011-2012,grant,62262295,06226-2295
00142500,2012-2013,grant,62262295,06226-2295
00142500,2013-2014,grant,62262295,06226-2295
00142600,2006-2007,grant,65208288,06520-8288
00142600,2007-2008,grant,65208288,06520-8288
00142600,2009-2010,grant,65208288,06520-8288
00142600,2010-2011,grant,65208288,06520-8288
00142600,2011-2012,grant,65208288,06520-8288
00142600,2012-2013,grant,65208288,06520-8288
00142600,2013-2014,grant,65208229,06520-8229
00203300,2006-2007,grant,47692888,04769-2888
00203300,2007-2008,grant,47692888,04769-2888
00203300,2009-2010,grant,47692888,04769-2888
00203300,2010-2011,grant,47692888,04769-2888
00203300,2011-2012,grant,47692888,04769-2888
00203300,2012-2013,grant,47692888,04769-2888
00203300,2013-2014,grant,47692888,04769-2888
00203500,2006-2007,grant,44020411,04402-0411
00203500,2007-2008,grant,44020411,04402-0411
00203500,2009-2010,grant,44020411,04402-0411
00203500,2010-2011,grant,44020411,04402-0411
00203600,2006-2007,grant,42406028,04240-6028
00203600,2007-2008,grant,42406028,04240-6028
00203600,2009-2010,grant,42406028,04240-6028
00203600,2010-2011,grant,42406028,04240-6028
00203600,2011-2012,grant,42406028,04240-6028
00203600,2012-2013,grant,42406028,04240-6028
00203600,2013-2014,grant,42406028,04240-6028
00203800,2006-2007,grant,40118451,04011-8451
00203800,2007-2008,grant,40118451,04011-8451
00203800,2009-2010,grant,40118451,04011-8451
00203800,2010-2011,grant,40118451,04011-8451
00203800,2011-2012,grant,40118451,04011-8451
00203800,2012-2013,grant,40118451,04011-8451
00203800,2013-2014,grant,40118451,04011-8451
00203900,2006-2007,grant,49018840,04901-8840
00203900,2007-2008,grant,49018840,04901-8840
00203900,2009-2010,grant,49018840,04901-8840
00203900,2010-2011,grant,49018840,04901-8840
00203900,2011-2012,grant,49018840,04901-8840
00203900,2012-2013,grant,49018840,04901-8840
00203900,2013-2014,grant,49018840,04901-8840
00204000,2006-2007,grant,49381990,04938-1990
00204000,2007-2008,grant,49381990,04938-1990
00204000,2009-2010,grant,49381990,04938-1990
00204000,2010-2011,grant,49381990,04938-1990
00204000,2011-2012,grant,49381990,04938-1990
00204000,2012-2013,grant,49381990,04938-1990
00204000,2013-2014,grant,49381990,04938-1990
00204100,2006-2007,grant,47431292,04743-1292
00204100,2007-2008,grant,47431292,04743-1292
00204100,2009-2010,grant,47431292,04743-1292
00204100,2010-2011,grant,47431292,04743-1292
00204100,2011-2012,grant,47431292,04743-1292
00204100,2012-2013,grant,47431292,04743-1292
00204100,2013-2014,grant,47431292,04743-1292
00204300,2006-2007,grant,44012999,04401-2999
00204300,2007-2008,grant,44012999,04401-2999
00204300,2009-2010,grant,44012999,04401-2999
00204300,2010-2011,grant,44012999,04401-2999
00204300,2011-2012,grant,44012999,04401-2999
00204300,2012-2013,grant,44012999,04401-2999
00204300,2013-2014,grant,44012999,04401-2999
00204400,2006-2007,grant,44200001,04420-0001
00204400,2007-2008,grant,44200001,04420-0001
00204400,2009-2010,grant,44200001,04420-0001
00204400,2010-2011,grant,44200001,04420-0001
00204400,2011-2012,grant,44200001,04420-0001
00204400,2012-2013,grant,44200001,04420-0001
00204400,2013-2014,grant,44200001,04420-0001
00205000,2006-2007,grant,40059599,04005-9599
00205000,2007-2008,grant,40059599,04005-9599
00205000,2009-2010,grant,40059599,04005-9599
00205000,2010-2011,grant,40059599,04005-9599
00205000,2011-2012,grant,40059599,04005-9599
00205000,2012-2013,grant,40059599,04005-9599
00205000,2013-2014,grant,40059599,04005-9599
00205100,2006-2007,grant,40845263,04084-5263
00205100,2007-2008,grant,40845263,04084-5263
00205100,2009-2010,grant,40845263,04084-5263
00205100,2010-2011,grant,40845236,04084-5236
00205100,2011-2012,grant,40845236,04084-5236
00205100,2012-2013,grant,40845236,04084-5236
00205100,2013-2014,grant,40845236,04084-5236
00205200,2006-2007,grant,49015097,04901-5097
00205200,2007-2008,grant,49015097,04901-5097
00205200,2009-2010,grant,49015097,04901-5097
00205200,2010-2011,grant,49015097,04901-5097
00205200,2011-2012,grant,49015097,04901-5097
00205200,2012-2013,grant,49015097,04901-5097
00205200,2013-2014,grant,49015097,04901-5097
00205300,2006-2007,grant,44690001,04469-0001
00205300,2007-2008,grant,44690001,04469-0001
00205300,2009-2010,grant,44690001,04469-0001
00205300,2010-2011,grant,44690001,04469-0001
00205300,2011-2012,grant,44690001,04469-0001
00205300,2012-2013,grant,44690001,04469-0001
00205300,2013-2014,grant,44690001,04469-0001
00205400,2006-2007,grant,41044864,04104-4864
00205400,2007-2008,grant,41044864,04104-4864
00205400,2009-2010,grant,41044864,04104-4864
00205400,2010-2011,grant,41044864,04104-4864
00205400,2011-2012,grant,41044864,04104-4864
00205400,2012-2013,grant,41049301,04104-9301
00205400,2013-2014,grant,41049301,04104-9301
00205500,2006-2007,grant,46541397,04654-1397
00205500,2007-2008,grant,46541397,04654-1397
00205500,2009-2010,grant,46541397,04654-1397
00205500,2010-2011,grant,46541397,04654-1397
00205500,2011-2012,grant,46541397,04654-1397
00205500,2012-2013,grant,46541397,04654-1397
00205500,2013-2014,grant,46541397,04654-1397
00211400,2006-2007,grant,11093189,01109-3189
00211400,2007-2008,grant,11093189,01109-3189
00211400,2009-2010,grant,11093189,01109-3189
00211400,2010-2011,grant,11093189,01109-3189
00211400,2011-2012,grant,11093189,01109-3189
00211400,2012-2013,grant,11093189,01109-3189
00211400,2013-2014,grant,11093189,01109-3189
00211500,2006-2007,grant,10025000,01002-5000
00211500,2007-2008,grant,10025000,01002-5000
00211500,2009-2010,grant,10025000,01002-5000
00211500,2010-2011,grant,10025000,01002-5000
00211500,2011-2012,grant,10025000,01002-5000
00211500,2012-2013,grant,10025000,01002-5000
00211500,2013-2014,grant,10025000,01002-5000
00211700,2006-2007,grant,16121198,01612-1198
00211700,2007-2008,grant,16121198,01612-1198
00211700,2009-2010,grant,16121198,01612-1198
00211700,2010-2011,grant,16121198,01612-1198
00211700,2011-2012,grant,16121198,01612-1198
00211700,2012-2013,grant,16121198,01612-1198
00211700,2013-2014,grant,16121198,01612-1198
00211800,2006-2007,grant,16151294,01615-1294
00211800,2007-2008,grant,16151294,01615-1294
00211800,2009-2010,grant,16151294,01615-1294
00211800,2010-2011,grant,16151294,01615-1294
00211800,2011-2012,grant,16151294,01615-1294
00211800,2012-2013,grant,16151294,01615-1294
00211800,2013-2014,grant,16151294,01615-1294
00211900,2006-2007,grant,15611000,01561-1000
00211900,2007-2008,grant,15611000,01561-1000
00211900,2009-2010,grant,15611000,01561-1000
00211900,2010-2011,grant,15611000,01561-1000
00211900,2011-2012,grant,15611000,01561-1000
00212000,2006-2007,grant,18455800,01845-5800
00212000,2007-2008,grant,18455800,01845-5800
00212000,2009-2010,grant,18455800,01845-5800
00212000,2010-2011,grant,18455800,01845-5800
00212000,2011-2012,grant,18455800,01845-5800
00212000,2012-2013,grant,18455800,01845-5800
00212000,2013-2014,grant,18455800,01845-5800
00212100,2006-2007,grant,24570310,02457-0310
00212100,2007-2008,grant,24570310,02457-0310
00212100,2009-2010,grant,24570310,02457-0310
00212100,2010-2011,grant,24570310,02457-0310
00212100,2011-2012,grant,24570310,02457-0310
00212100,2012-2013,grant,24570310,02457-0310
00212100,2013-2014,grant,24570310,02457-0310
00212200,2006-2007,grant,11062212,01106-2212
00212200,2007-2008,grant,11062212,01106-2212
00212200,2009-2010,grant,11062212,01106-2212
00212200,2010-2011,grant,11062212,01106-2212
00212200,2011-2012,grant,11062212,01106-2212
00212200,2012-2013,grant,11062212,01106-2212
00212200,2013-2014,grant,11062212,01106-2212
00212300,2006-2007,grant,16150071,01615-0071
00212300,2007-2008,grant,16150071,01615-0071
00212300,2009-2010,grant,16150071,01615-0071
00212300,2010-2011,grant,16150071,01615-0071
00212300,2011-2012,grant,16150071,01615-0071
00212300,2012-2013,grant,16150071,01615-0071
00212300,2013-2014,grant,16150071,01615-0071
00212400,2006-2007,grant,24524705,02452-4705
00212400,2007-2008,grant,24524705,02452-4705
00212400,2009-2010,grant,24524705,02452-4705
00212400,2010-2011,grant,24524705,02452-4705
00212400,2011-2012,grant,24524705,02452-4705
00212400,2012-2013,grant,24524705,02452-4705
00212400,2013-2014,grant,24524705,02452-4705
00212600,2006-2007,grant,22153693,02215-3693
00212600,2007-2008,grant,22153693,02215-3693
00212600,2009-2010,grant,22153693,02215-3693
00212600,2010-2011,grant,22153693,02215-3693
00212600,2011-2012,grant,22153693,02215-3693
00212600,2012-2013,grant,22153693,02215-3693
00212600,2013-2014,grant,22153693,02215-3693
00212800,2006-2007,grant,24673800,02467-3800
00212800,2007-2008,grant,24673800,02467-3800
00212800,2009-2010,grant,24673800,02467-3800
00212800,2010-2011,grant,24673800,02467-3800
00212800,2011-2012,grant,24673800,02467-3800
00212800,2012-2013,grant,24673800,02467-3800
00212800,2013-2014,grant,24673800,02467-3800
00212900,2006-2007,grant,22159830,02215-9830
00212900,2007-2008,grant,22159830,02215-9830
00212900,2009-2010,grant,22159830,02215-9830
00212900,2010-2011,grant,22159830,02215-9830
00212900,2011-2012,grant,22159830,02215-9830
00212900,2012-2013,grant,22159830,02215-9830
00212900,2013-2014,grant,22159830,02215-9830
00213000,2006-2007,grant,22151789,02215-1789
00213000,2007-2008,grant,22151789,02215-1789
00213000,2009-2010,grant,22151789,02215-1789
00213000,2010-2011,grant,22151789,02215-1789
00213000,2011-2012,grant,22151789,02215-1789
00213000,2012-2013,grant,22151789,02215-1789
00213000,2013-2014,grant,22151789,02215-1789
00213300,2006-2007,grant,24532700,02453-2700
00213300,2007-2008,grant,24532700,02453-2700
00213300,2009-2010,grant,24532700,02453-2700
00213300,2010-2011,grant,24532700,02453-2700
00213300,2011-2012,grant,24532700,02453-2700
00213300,2012-2013,grant,24532700,02453-2700
00213300,2013-2014,grant,24532728,02453-2728
00213900,2006-2007,grant,16101473,01610-1473
00213900,2007-2008,grant,16101473,01610-1473
00213900,2009-2010,grant,16101473,01610-1473
00213900,2010-2011,grant,16101473,01610-1473
00213900,2011-2012,grant,16101473,01610-1473
00213900,2012-2013,grant,16101473,01610-1473
00213900,2013-2014,grant,16101473,01610-1473
00214000,2006-2007,grant,10132839,01013-2839
00214000,2007-2008,grant,10132839,01013-2839
00214000,2009-2010,grant,10132839,01013-2839
00214000,2010-2011,grant,10132839,01013-2839
00214000,2011-2012,grant,10132839,01013-2839
00214000,2012-2013,grant,10132839,01013-2839
00214000,2013-2014,grant,10132839,01013-2839
00214100,2006-2007,grant,16102395,01610-2395
00214100,2007-2008,grant,16102395,01610-2395
00214100,2009-2010,grant,16102395,01610-2395
00214100,2010-2011,grant,16102395,01610-2395
00214100,2011-2012,grant,16102395,01610-2395
00214100,2012-2013,grant,16102395,01610-2395
00214100,2013-2014,grant,16102395,01610-2395
00214300,2006-2007,grant,21862395,02186-2395
00214300,2007-2008,grant,21862395,02186-2395
00214300,2009-2010,grant,21862395,02186-2395
00214300,2010-2011,grant,21862395,02186-2395
00214300,2011-2012,grant,21862395,02186-2395
00214300,2012-2013,grant,21862395,02186-2395
00214300,2013-2014,grant,21862395,02186-2395
00214400,2006-2007,grant,20381994,02038-1994
00214400,2007-2008,grant,20381994,02038-1994
00214400,2009-2010,grant,20381994,02038-1994
00214400,2010-2011,grant,20381994,02038-1994
00214400,2011-2012,grant,20381994,02038-1994
00214400,2012-2013,grant,20381994,02038-1994
00214400,2013-2014,grant,20381994,02038-1994
00214500,2006-2007,grant,21702999,02170-2999
00214500,2007-2008,grant,21702999,02170-2999
00214500,2009-2010,grant,21702999,02170-2999
00214500,2010-2011,grant,21702999,02170-2999
00214500,2011-2012,grant,21702999,02170-2999
00214500,2012-2013,grant,21702999,02170-2999
00214500,2013-2014,grant,21702999,02170-2999
00214600,2006-2007,grant,21164624,02116-4624
00214600,2007-2008,grant,21164624,02116-4624
00214600,2009-2010,grant,21164624,02116-4624
00214600,2010-2011,grant,21164624,02116-4624
00214600,2011-2012,grant,21164624,02116-4624
00214600,2012-2013,grant,21164624,02116-4624
00214600,2013-2014,grant,21164624,02116-4624
00214700,2006-2007,grant,21155798,02115-5798
00214700,2007-2008,grant,21155798,02115-5798
00214700,2009-2010,grant,21155798,02115-5798
00214700,2010-2011,grant,21155798,02115-5798
00214700,2011-2012,grant,21155798,02115-5798
00214700,2012-2013,grant,21155798,02115-5798
00214700,2013-2014,grant,21155798,02115-5798
00214800,2006-2007,grant,19152098,01915-2098
00214800,2007-2008,grant,19152098,01915-2098
00214800,2009-2010,grant,19152098,01915-2098
00214800,2010-2011,grant,19152098,01915-2098
00214800,2011-2012,grant,19152098,01915-2098
00214800,2012-2013,grant,19152098,01915-2098
00214800,2013-2014,grant,19152098,01915-2098
00215000,2006-2007,grant,21161500,02116-1500
00215000,2007-2008,grant,21161500,02116-1500
00215000,2009-2010,grant,21161500,02116-1500
00215000,2010-2011,grant,21161500,02116-1500
00215000,2011-2012,grant,21161500,02116-1500
00215000,2012-2013,grant,21161500,02116-1500
00215000,2013-2014,grant,21161500,02116-1500
00215100,2006-2007,grant,21166296,02116-6296
00215100,2007-2008,grant,21166296,02116-6296
00215100,2009-2010,grant,21166296,02116-6296
00215100,2010-2011,grant,21166296,02116-6296
00215100,2011-2012,grant,21166296,02116-6296
00215100,2012-2013,grant,21166296,02116-6296
00215100,2013-2014,grant,21166296,02116-6296
00215300,2006-2007,grant,19841899,01984-1899
00215300,2007-2008,grant,19841899,01984-1899
00215300,2009-2010,grant,19841899,01984-1899
00215300,2010-2011,grant,19841899,01984-1899
00215300,2011-2012,grant,19841899,01984-1899
00215300,2012-2013,grant,19841899,01984-1899
00215300,2013-2014,grant,19841899,01984-1899
00215400,2006-2007,grant,24457496,02445-7496
00215400,2007-2008,grant,24457496,02445-7496
00215400,2009-2010,grant,24457496,02445-7496
00215400,2010-2011,grant,24457496,02445-7496
00215400,2011-2012,grant,24457496,02445-7496
00215400,2012-2013,grant,24457496,02445-7496
00215400,2013-2014,grant,24457496,02445-7496
00215500,2006-2007,grant,21383800,02138-3800
00215500,2007-2008,grant,21383800,02138-3800
00215500,2009-2010,grant,21383800,02138-3800
00215500,2010-2011,grant,21383800,02138-3800
00215500,2011-2012,grant,21383800,02138-3800
00215500,2012-2013,grant,21383800,02138-3800
00215500,2013-2014,grant,21383800,02138-3800
00215700,2007-2008,grant,24592237,02459-2237
00215700,2009-2010,grant,24592237,02459-2237
00215700,2010-2011,grant,24592237,02459-2237
00215700,2011-2012,grant,24592237,02459-2237
00215700,2012-2013,grant,24592237,02459-2237
00215700,2013-2014,grant,24592237,02459-2237
00215800,2006-2007,grant,24662716,02466-2716
00215800,2007-2008,grant,24662716,02466-2716
00215800,2009-2010,grant,24662716,02466-2716
00215800,2010-2011,grant,24662716,02466-2716
00215800,2011-2012,grant,24662716,02466-2716
00215800,2012-2013,grant,24662716,02466-2716
00215800,2013-2014,grant,24662716,02466-2716
00216000,2006-2007,grant,21382790,02138-2790
00216000,2007-2008,grant,21382790,02138-2790
00216000,2009-2010,grant,21382790,02138-2790
00216000,2010-2011,grant,21382790,02138-2790
00216000,2011-2012,grant,21382790,02138-2790
00216000,2012-2013,grant,21382790,02138-2790
00216000,2013-2014,grant,21382790,02138-2790
00216100,2006-2007,grant,18542881,01854-2881
00216100,2007-2008,grant,18542881,01854-2881
00216100,2009-2010,grant,18542881,01854-2881
00216100,2010-2011,grant,18542881,01854-2881
00216100,2011-2012,grant,18542881,01854-2881
00216100,2012-2013,grant,18542881,01854-2881
00216100,2013-2014,grant,18542881,01854-2881
00216500,2006-2007,grant,21155804,02115-5804
00216500,2007-2008,grant,21155804,02115-5804
00216500,2009-2010,grant,21155804,02115-5804
00216500,2010-2011,grant,21155804,02115-5804
00216500,2011-2012,grant,21155804,02115-5804
00216500,2012-2013,grant,21155804,02115-5804
00216500,2013-2014,grant,21155804,02115-5804
00216700,2006-2007,grant,12015786,01201-5786
00216700,2007-2008,grant,12015786,01201-5786
00216700,2009-2010,grant,12015786,01201-5786
00216700,2010-2011,grant,12015786,01201-5786
00216700,2011-2012,grant,12015786,01201-5786
00216700,2012-2013,grant,12015786,01201-5786
00216700,2013-2014,grant,12015786,01201-5786
00216800,2006-2007,grant,26681599,02668-1599
00216800,2007-2008,grant,26681599,02668-1599
00216800,2009-2010,grant,26681599,02668-1599
00216800,2010-2011,grant,26681599,02668-1599
00216800,2011-2012,grant,26681599,02668-1599
00216800,2012-2013,grant,26681599,02668-1599
00216800,2013-2014,grant,26681599,02668-1599
00216900,2006-2007,grant,13019739,01301-9739
00216900,2007-2008,grant,13019739,01301-9739
00216900,2009-2010,grant,13019739,01301-9739
00216900,2010-2011,grant,13019739,01301-9739
00216900,2011-2012,grant,13019739,01301-9739
00216900,2012-2013,grant,13019739,01301-9739
00216900,2013-2014,grant,13019739,01301-9739
00217000,2006-2007,grant,10401099,01040-1099
00217000,2007-2008,grant,10401099,01040-1099
00217000,2009-2010,grant,10401099,01040-1099
00217000,2010-2011,grant,10401099,01040-1099
00217000,2011-2012,grant,10401099,01040-1099
00217000,2012-2013,grant,10401099,01040-1099
00217000,2013-2014,grant,10401099,01040-1099
00217100,2006-2007,grant,24815399,02481-5399
00217100,2007-2008,grant,24815399,02481-5399
00217100,2009-2010,grant,24815399,02481-5399
00217100,2010-2011,grant,24815399,02481-5399
00217100,2011-2012,grant,24815399,02481-5399
00217100,2012-2013,grant,24815399,02481-5399
00217100,2013-2014,grant,24815399,02481-5399
00217200,2006-2007,grant,14401000,01440-1000
00217200,2007-2008,grant,14401000,01440-1000
00217200,2009-2010,grant,14401000,01440-1000
00217200,2010-2011,grant,14401000,01440-1000
00217200,2011-2012,grant,14401000,01440-1000
00217200,2012-2013,grant,14401000,01440-1000
00217200,2013-2014,grant,14401000,01440-1000
00217300,2006-2007,grant,19234093,01923-4093
00217300,2007-2008,grant,19234093,01923-4093
00217300,2009-2010,grant,19234093,01923-4093
00217300,2010-2011,grant,19234093,01923-4093
00217300,2011-2012,grant,19234093,01923-4093
00217300,2012-2013,grant,19234093,01923-4093
00217300,2013-2014,grant,19234093,01923-4093
00217400,2006-2007,grant,18302399,01830-2399
00217400,2007-2008,grant,18302399,01830-2399
00217400,2009-2010,grant,18302399,01830-2399
00217400,2010-2011,grant,18302399,01830-2399
00217400,2011-2012,grant,18302399,01830-2399
00217400,2012-2013,grant,18302399,01830-2399
00217400,2013-2014,grant,18302399,01830-2399
00217500,2006-2007,grant,16062092,01606-2092
00217500,2007-2008,grant,16062092,01606-2092
00217500,2009-2010,grant,16062092,01606-2092
00217500,2010-2011,grant,16062092,01606-2092
00217500,2011-2012,grant,16062092,01606-2092
00217500,2012-2013,grant,16062092,01606-2092
00217500,2013-2014,grant,16062092,01606-2092
00217600,2006-2007,grant,27207399,02720-7399
00217600,2007-2008,grant,27207399,02720-7399
00217600,2009-2010,grant,27207399,02720-7399
00217600,2010-2011,grant,27207399,02720-7399
00217600,2011-2012,grant,27207399,02720-7399
00217600,2012-2013,grant,27207399,02720-7399
00217600,2013-2014,grant,27207399,02720-7399
00217700,2006-2007,grant,23023996,02302-3996
00217700,2007-2008,grant,23023996,02302-3996
00217700,2009-2010,grant,23023996,02302-3996
00217700,2010-2011,grant,23023996,02302-3996
00217700,2011-2012,grant,23023996,02302-3996
00217700,2012-2013,grant,23023996,02302-3996
00217700,2013-2014,grant,23023996,02302-3996
00217800,2006-2007,grant,21394307,02139-4307
00217800,2007-2008,grant,21394307,02139-4307
00217800,2009-2010,grant,21394307,02139-4307
00217800,2010-2011,grant,21394307,02139-4307
00217800,2011-2012,grant,21394307,02139-4307
00217800,2012-2013,grant,21394307,02139-4307
00217800,2013-2014,grant,21394307,02139-4307
00218000,2006-2007,grant,21155803,02115-5803
00218000,2007-2008,grant,21155803,02115-5803
00218000,2009-2010,grant,21155803,02115-5803
00218000,2010-2011,grant,21155803,02115-5803
00218000,2011-2012,grant,21155803,02115-5803
00218000,2012-2013,grant,21155803,02115-5803
00218000,2013-2014,grant,21155803,02115-5803
00218100,2006-2007,grant,25323400,02532-3400
00218100,2007-2008,grant,25323400,02532-3400
00218100,2009-2010,grant,25323400,02532-3400
00218100,2010-2011,grant,25323400,02532-3400
00218100,2011-2012,grant,25323400,02532-3400
00218100,2012-2013,grant,25323400,02532-3400
00218100,2013-2014,grant,25323400,02532-3400
00218300,2006-2007,grant,23250001,02325-0001
00218300,2007-2008,grant,23250001,02325-0001
00218300,2009-2010,grant,23250001,02325-0001
00218300,2010-2011,grant,23250001,02325-0001
00218300,2011-2012,grant,23250001,02325-0001
00218300,2012-2013,grant,23250001,02325-0001
00218300,2013-2014,grant,23250001,02325-0001
00218400,2006-2007,grant,14202697,01420-2697
