opeid8,award_year,school,state,school_type,zip_code,grant__pell_disbursements,loan__plus_disbursements,ipeds_anchor,ipeds_year,unitid,ipeds_match_status,ipeds_match_method,ipeds_exact_candidate_count,ipeds_unitid_start,ipeds_unitid_end,ipeds_start_candidate_count,ipeds_end_candidate_count,ipeds_anchor_sensitivity,ipeds_scope_root,ipeds_root_unitid_count_start,ipeds_root_unitid_count_end,fsa_root_opeid_count,ipeds_opeid_lifetime_unitid_count,ipeds_unitid_lifetime_opeid_count,ipeds_strict_eligible,ipeds_strict_exclusion_reasons,ipeds_reporting_scope,ipeds_instnm,ipeds_stabbr,ipeds_city,ipeds_zip,ipeds_opeflag,ipeds_sector,ipeds_cyactive,ipeds_act,ipeds_newid,ipeds_deathyr,ipeds_closedat,ipeds_postsec,ipeds_pseflag,ipeds_pset4flg,ipeds_rptmth,ipeds_f1systyp,ipeds_f1sysnam,ipeds_f1syscod,prch_ic,idx_ic,ipeds_source_path,ipeds_source_sha256,ipeds_source_member,prch_c,idx_c,prch_ef,idx_ef,prch_f,idx_f,prch_sfa,idx_sfa,prch_gr,idx_gr,prch_sa,idx_sa,prch_s,idx_s,prch_eap,idx_eap,prch_hr,idx_hr,prch_e12,idx_e12,prch_gr2,idx_gr2,prch_al,idx_al,prch_om,idx_om,prchtp_f,prch_adm,idx_adm
00104900,2006-2007,TROY STATE UNIVERSITY MONTGOMERY,AL,Public,36103-4419,,,start,2006,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001049,0,0,1,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,1999-2000,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,,1001979.0,,start,1999,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2000-2001,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,,1069748.0,,start,2000,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2001-2002,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,,1458148.0,,start,2001,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2002-2003,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,,1752941.85,,start,2002,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2003-2004,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,,1721273.0,,start,2003,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2004-2005,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,,1726455.0,,start,2004,,no_exact_match,none,0,,100919,0,1,ambiguous_or_unmatched,001059,1,2,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;ipeds_component_parent_child,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2006-2007,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,35221-1798,1289689.08,,start,2006,,exact_unique_inactive,exact_full_opeid_same_reference_year,1,100919,,1,0,ambiguous_or_unmatched,001059,2,1,2,1,0,False,exact_unique_inactive;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;ipeds_merger_or_closure;ipeds_inactive,requires_scope_review,Lawson State Community College-Bessemer Campus,AL,Bessemer,35022,1,4,3,C ,101569,2006,5/31/06,1,3,9,-2,,,,,,/Users/markjaysonfarol13/Projects/FSA/FSAVolumeReports_Panel-main/ResearchBuild/IPEDS/official_hd/HD2006.zip,2fe089ae93b3df0085e31ee76471db2cedbc8d2d1d08a6497f460d5cec68cab6,hd2006.csv,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,-2,-2,,,,,,,,,,,
00105901,2007-2008,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,35221-1798,1095235.0,,start,2007,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2008-2009,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,35221-1798,657714.9,,start,2008,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105901,2009-2010,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public,35221-1798,2732200.13,,start,2009,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001059,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00106304,2008-2009,UNIVERSITY OF ALASKA FAIRBANKS - KUSKOKWIN CAMPUS,AK,Public,99775-7500,4731.0,,start,2008,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001063,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00106304,2009-2010,UNIVERSITY OF ALASKA FAIRBANKS - KUSKOKWIN CAMPUS,AK,Public,99775-7500,28671.0,,start,2009,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001063,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00106501,2008-2009,UNIVERSITY OF ALASKA SOUTHEAST - SITKA CAMPUS,AK,Public,99801-8680,,,start,2008,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001065,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00107000,2015-2016,Thunderbird School of Global Management,AZ,Private/Non-Profit,85306-6000,,,start,2015,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001070,0,0,1,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00107000,2016-2017,Thunderbird School of Global Management,AZ,Private/Non-Profit,85306-6000,,,start,2016,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001070,0,0,1,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108501,1999-2000,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,Public,,177798.88,,start,1999,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,1,3,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108501,2000-2001,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,Public,,173442.71,,start,2000,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,1,3,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108501,2001-2002,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,Public,,245080.85,,start,2001,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,1,3,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108501,2002-2003,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,Public,,186591.55,,start,2002,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,3,3,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108502,1999-2000,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,Public,,89312.05,,start,1999,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,1,3,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108502,2000-2001,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,Public,,118820.36,,start,2000,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,1,3,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108502,2001-2002,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,Public,,128779.81,,start,2001,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001085,1,1,3,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108502,2002-2003,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,Public,,155141.21,,start,2002,,no_exact_match,none,0,,106944,0,1,ambiguous_or_unmatched,001085,1,3,3,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;ipeds_merger_or_closure;ipeds_inactive,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108906,1999-2000,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,Public,,630706.75,,start,1999,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001089,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108906,2000-2001,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,Public,,673423.14,,start,2000,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001089,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108906,2001-2002,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,Public,,815348.09,,start,2001,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001089,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108906,2002-2003,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,Public,,785710.93,,start,2002,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001089,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2011-2012,Arkansas State University,AR,Public,72401-0000,28200912.0,5055052.0,start,2011,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,4,4,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2012-2013,Arkansas State University,AR,Public,72401-0000,27528257.0,4244568.0,start,2012,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,4,3,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2013-2014,Arkansas State University,AR,Public,72401-0000,24494414.0,4577695.0,start,2013,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,3,3,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2014-2015,Arkansas State University,AR,Public,72401-0000,23935252.0,5163360.0,start,2014,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,3,3,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2015-2016,Arkansas State University,AR,Public,72401-0000,22624901.0,6428466.0,start,2015,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,3,2,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2016-2017,Arkansas State University,AR,Public,72401-0000,18155261.0,7162523.0,start,2016,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,2,2,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2017-2018,Arkansas State University,AR,Public,72401-0000,19169344.0,7289263.0,start,2017,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,2,2,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2018-2019,Arkansas State University,AR,Public,72401-0000,18742448.0,7641315.0,start,2018,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,2,2,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00109000,2019-2020,Arkansas State University,AR,Public,72401-0000,17409809.0,8095606.0,start,2019,,multiple_exact_unitids,exact_full_opeid_same_reference_year,2,,,2,2,ambiguous_or_unmatched,001090,2,2,1,2,0,False,multiple_exact_unitids;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;opeid_maps_to_multiple_unitids_over_time;ipeds_branch_flag;ipeds_administrative_unit;ipeds_not_full_title_iv,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
