opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_root_unitid_count_end,ipeds_anchor_sensitivity,ipeds_unitid_start,ipeds_unitid_end
00112100,2011-2012,Bethany University of the Assemblies of God,CA,95066-2896,,exact_unique_inactive,1,0,ambiguous_or_unmatched,110051,
00112100,2012-2013,Bethany University of the Assemblies of God,CA,95066-2896,,no_exact_match,0,0,ambiguous_or_unmatched,,
00112100,2013-2014,Bethany University of the Assemblies of God,CA,95066-2896,,no_exact_match,0,0,ambiguous_or_unmatched,,
00112300,2016-2017,BROOKS INSTITUTE,CA,93001-1023,,exact_unique_inactive,1,0,ambiguous_or_unmatched,110185,
00112700,2011-2012,California College of the Arts,CA,94107-2206,,no_exact_match,1,1,ambiguous_or_unmatched,,
00112700,2012-2013,California College of the Arts,CA,94107-2206,,no_exact_match,1,1,ambiguous_or_unmatched,,110370
00113500,2002-2003,California College of Podiatric Medicine,CA,94115-4000,,exact_unique_inactive,1,0,ambiguous_or_unmatched,110981,
00113500,2003-2004,California College of Podiatric Medicine,CA,94115-4000,,no_exact_match,0,0,ambiguous_or_unmatched,,
00113500,2004-2005,California College of Podiatric Medicine,CA,94115-4000,,no_exact_match,0,0,ambiguous_or_unmatched,,
00115800,2001-2002,UNITED STATES INTERNATIONAL UNIV,CA,92131,,exact_unique_inactive,1,0,ambiguous_or_unmatched,124885,
00115800,2002-2003,UNITED STATES INTERNATIONAL UNIV,CA,92131,,no_exact_match,0,0,ambiguous_or_unmatched,,
00115800,2003-2004,United States International University,CA,92131-1799,,no_exact_match,0,0,ambiguous_or_unmatched,,
00116700,2001-2002,CITY COLLEGE OF SAN FRANCISCO,CA,94112,,no_exact_match,0,0,ambiguous_or_unmatched,,
00116700,2002-2003,City College of San Francisco,CA,94103,,no_exact_match,0,0,ambiguous_or_unmatched,,
00116700,2003-2004,City College of San Francisco,CA,94103,,no_exact_match,0,0,ambiguous_or_unmatched,,
00119701,1999-2000,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00119701,2000-2001,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00119701,2001-2002,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00119701,2002-2003,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00119701,2003-2004,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00119701,2004-2005,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00119701,2005-2006,EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER,CA,,,no_exact_match,1,2,ambiguous_or_unmatched,,112686
00124100,2008-2009,Monterey Institute of International Studies,CA,93940-2691,,no_exact_match,0,0,ambiguous_or_unmatched,,
00124100,2009-2010,Monterey Institute of International Studies,CA,93940-2691,,no_exact_match,0,0,ambiguous_or_unmatched,,
00124100,2010-2011,MONTEREY INSTITUTE OF INTERNATIONAL STUDIES,CA,93940-2691,,no_exact_match,0,0,ambiguous_or_unmatched,,
00127200,2011-2012,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2012-2013,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2013-2014,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2014-2015,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2015-2016,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2016-2017,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2017-2018,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2018-2019,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2019-2020,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2020-2021,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2021-2022,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2022-2023,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2023-2024,San Bernardino Valley College,CA,92410-2798,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00127200,2024-2025,SAN BERNARDINO VALLEY COLLEGE,CA,92410-2798,,multiple_exact_unitids,2,0,year_unavailable,,
00127700,2007-2008,SAN FRANCISCO COLLEGE OF MORTUARY SCIENCES,CA,94115,,no_exact_match,0,0,ambiguous_or_unmatched,,
00129900,2005-2006,Saint John's Seminary,CA,93012-2598,,exact_unique_inactive,1,1,different_unitid,122223,123855
00137000,2011-2012,University of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2012-2013,University of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2013-2014,University of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2014-2015,University of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2015-2016,University of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2016-2017,University of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2017-2018,UNIVERSITY OF COLORADO BOULDER,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2018-2019,University Of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2019-2020,University Of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2020-2021,University Of Colorado Boulder,CO,80309-0077,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2021-2022,University Of Colorado Boulder,CO,80309,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2022-2023,University Of Colorado Boulder,CO,80309-0017,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2023-2024,UNIVERSITY OF COLORADO BOULDER,CO,80309-0017,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00137000,2024-2025,UNIVERSITY OF COLORADO BOULDER,CO,80309-0017,,multiple_exact_unitids,2,0,year_unavailable,,
00141703,2008-2009,UNIVERSITY OF CONNECTICUT - TORRINGTON CAMPUS,CT,06269-2151,,no_exact_match,4,5,ambiguous_or_unmatched,,
00141704,2008-2009,UNIVERSITY OF CONNECTICUT - WATERBURY CAMPUS,CT,06269-2151,,no_exact_match,4,5,ambiguous_or_unmatched,,
00141704,2009-2010,UNIVERSITY OF CONNECTICUT - WATERBURY CAMPUS,CT,62692,,no_exact_match,5,4,ambiguous_or_unmatched,,
00145600,2009-2010,Southeastern University,DC,20024-2788,,exact_unique_inactive,1,0,ambiguous_or_unmatched,131788,
00145900,2011-2012,Strayer University,DC,20005-2603,,multiple_exact_unitids,21,25,ambiguous_or_unmatched,,
00145900,2012-2013,Strayer University,DC,20005-2603,,multiple_exact_unitids,25,26,ambiguous_or_unmatched,,
00145900,2013-2014,Strayer University,DC,20005-2603,,multiple_exact_unitids,26,18,ambiguous_or_unmatched,,
00145900,2014-2015,Strayer University,DC,20005-2603,,multiple_exact_unitids,18,18,ambiguous_or_unmatched,,
00145900,2015-2016,Strayer University,DC,20005-2603,,multiple_exact_unitids,18,17,ambiguous_or_unmatched,,
00145900,2016-2017,Strayer University,DC,20005-2603,,multiple_exact_unitids,17,17,ambiguous_or_unmatched,,
00145900,2017-2018,Strayer University,DC,20005-2603,,multiple_exact_unitids,17,19,ambiguous_or_unmatched,,
00145900,2018-2019,Strayer University,DC,20005-2603,,multiple_exact_unitids,19,19,ambiguous_or_unmatched,,
00145900,2019-2020,Strayer University,DC,20005-2603,,multiple_exact_unitids,19,17,ambiguous_or_unmatched,,
00145900,2020-2021,Strayer University,DC,20005-2603,,multiple_exact_unitids,17,17,ambiguous_or_unmatched,,
00145900,2021-2022,Strayer University,DC,20005-2603,,multiple_exact_unitids,17,17,ambiguous_or_unmatched,,
00145900,2022-2023,Strayer University,DC,20005-2603,,multiple_exact_unitids,17,17,ambiguous_or_unmatched,,
00145900,2023-2024,Strayer University,DC,20005-2603,,multiple_exact_unitids,17,17,ambiguous_or_unmatched,,
00145900,2024-2025,STRAYER UNIVERSITY,DC,20005-2603,,multiple_exact_unitids,17,0,year_unavailable,,
00146900,2012-2013,Florida Institute of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2013-2014,Florida Institute of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2014-2015,Florida Institute of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2015-2016,Florida Institute of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2016-2017,Florida Institute of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2017-2018,FLORIDA INSTITUTE OF TECHNOLOGY,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2018-2019,Florida Institute Of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2019-2020,Florida Institute Of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2020-2021,Florida Institute Of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2021-2022,Florida Institute Of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2022-2023,Florida Institute Of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2023-2024,Florida Institute Of Technology,FL,32901-6988,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00146900,2024-2025,FLORIDA INSTITUTE OF TECHNOLOGY,FL,32901-6988,,multiple_exact_unitids,2,0,year_unavailable,,
00147300,2015-2016,CLEARWATER CHRISTIAN COLLEGE,FL,33759-4595,,exact_unique_inactive,1,0,ambiguous_or_unmatched,133085,
00147900,2002-2003,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2003-2004,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,2,ambiguous_or_unmatched,,133553
00147900,2011-2012,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2012-2013,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2013-2014,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2014-2015,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2015-2016,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2016-2017,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2017-2018,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2018-2019,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2019-2020,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2020-2021,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2021-2022,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2022-2023,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2023-2024,Embry-Riddle Aeronautical University,FL,32114-3900,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00147900,2024-2025,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,FL,32114-3900,,multiple_exact_unitids,3,0,year_unavailable,,
00149700,2017-2018,JONES COLLEGE,FL,32205-5395,,exact_unique_inactive,1,0,ambiguous_or_unmatched,135063,
00150601,2006-2007,MIAMI DADE COLLEGE - NORTH CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150601,2007-2008,MIAMI DADE COLLEGE - NORTH CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150601,2008-2009,MIAMI DADE COLLEGE - NORTH CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150601,2009-2010,MIAMI DADE COLLEGE - NORTH CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150602,2006-2007,MIAMI DADE COLLEGE - KENDALL CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150602,2007-2008,MIAMI DADE COLLEGE - KENDALL CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150602,2008-2009,MIAMI DADE COLLEGE - KENDALL CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150603,2006-2007,MIAMI DADE COLLEGE - WOLFSON CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150603,2007-2008,MIAMI DADE COLLEGE - WOLFSON CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150603,2008-2009,MIAMI DADE COLLEGE - WOLFSON CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150603,2009-2010,MIAMI DADE COLLEGE - WOLFSON CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150604,2006-2007,MIAMI DADE COLLEGE - MEDICAL CENTER CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150604,2007-2008,MIAMI DADE COLLEGE - MEDICAL CENTER CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150604,2008-2009,MIAMI DADE COLLEGE - MEDICAL CENTER CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150604,2009-2010,MIAMI DADE COLLEGE - MEDICAL CENTER CAMPUS,FL,33132-2297,,no_exact_match,1,1,ambiguous_or_unmatched,,
00150700,2004-2005,NEW COLLEGE,FL,33578,,no_exact_match,0,0,ambiguous_or_unmatched,,
00150700,2005-2006,NEW COLLEGE,FL,33578,,no_exact_match,0,0,ambiguous_or_unmatched,,
00153500,2014-2015,University of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2015-2016,University of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2016-2017,University of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2017-2018,University of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2018-2019,University Of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2019-2020,University Of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2020-2021,University Of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2021-2022,University Of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2022-2023,University Of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2023-2024,University Of Florida,FL,32611-3150,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00153500,2024-2025,UNIVERSITY OF FLORIDA,FL,32611-3150,,multiple_exact_unitids,2,0,year_unavailable,,
00157100,2013-2014,Georgia Military College,GA,31061-3398,,multiple_exact_unitids,2,3,ambiguous_or_unmatched,,
00157100,2014-2015,Georgia Military College,GA,31061-3398,,multiple_exact_unitids,3,1,ambiguous_or_unmatched,,485111
00157700,2015-2016,Kennesaw State University,GA,30144-5591,,multiple_exact_unitids,3,1,ambiguous_or_unmatched,,486840
00157900,2013-2014,Georgia Regents University,GA,30912-0004,,multiple_exact_unitids,2,1,ambiguous_or_unmatched,,482149
00158019,1999-2000,MERCER UNIVERSITY - GA BAPTIST COLLEGE OF NURSING,GA,,,no_exact_match,2,2,ambiguous_or_unmatched,,
00158019,2000-2001,MERCER UNIVERSITY - GA BAPTIST COLLEGE OF NURSING,GA,,,no_exact_match,2,3,ambiguous_or_unmatched,,139825
00158100,2013-2014,MIDDLE GEORGIA STATE UNIVERSITY,GA,31206-5145,,multiple_exact_unitids,2,1,ambiguous_or_unmatched,,482158
00158102,2001-2002,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00158102,2002-2003,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00158102,2003-2004,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00158102,2004-2005,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00158102,2005-2006,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00158102,2006-2007,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,31014-1599,,no_exact_match,1,2,ambiguous_or_unmatched,,440615
00158102,2008-2009,MIDDLE GEORGIA COLLEGE - EASTMAN CAMPUS,GA,31014-1599,,exact_unique_inactive,2,1,ambiguous_or_unmatched,440615,
